# P90_CSV_VERSION=1.0
EndOfPeriodUTC (dd/mm/yyyy HH:mm),SolarAzimuth (degrees),SolarZenith (degrees),AmbientTemp (celsius),DHI (W/m2),GHI (W/m2),DNI (W/m2),WS (m/s),Tilt (degrees)
09/04/1990 03:00,0.0,0.0,19.740014648437523,146.6999969482422,411.29998779296875,370.5199890136719,2.690000057220459,0.0
09/04/1990 04:00,0.0,0.0,19.929986572265648,100.55000305175781,365.04998779296875,420.30999755859375,2.549999952316284,0.0
09/04/1990 05:00,0.0,0.0,19.830010986328148,87.4000015258789,231.6999969482422,290.75,2.4100000858306885,0.0
09/04/1990 06:00,0.0,0.0,19.399987792968773,71.0999984741211,97.80000305175781,82.3499984741211,2.140000104904175,0.0
09/04/1990 07:00,0.0,0.0,19.529992675781273,9.600000381469727,12.75,25.239999771118164,1.7899999618530273,0.0
09/04/1990 08:00,0.0,0.0,19.140008544921898,0.0,0.0,0.0,1.7200000286102295,0.0
09/04/1990 09:00,0.0,0.0,19.089990234375023,0.0,0.0,0.0,2.140000104904175,0.0
09/04/1990 10:00,0.0,0.0,19.100000000000023,0.0,0.0,0.0,2.759999990463257,0.0
09/04/1990 11:00,0.0,0.0,19.179986572265648,0.0,0.0,0.0,3.6600000858306885,0.0
09/04/1990 12:00,0.0,0.0,18.860009765625023,0.0,0.0,0.0,4.550000190734863,0.0
09/04/1990 13:00,0.0,0.0,18.529992675781273,0.0,0.0,0.0,5.03000020980835,0.0
09/04/1990 14:00,0.0,0.0,18.330010986328148,0.0,0.0,0.0,5.239999771118164,0.0
09/04/1990 15:00,0.0,0.0,18.240014648437523,0.0,0.0,0.0,5.099999904632568,0.0
09/04/1990 16:00,0.0,0.0,18.240014648437523,0.0,0.0,0.0,5.590000152587891,0.0
09/04/1990 17:00,0.0,0.0,18.480004882812523,0.0,0.0,0.0,5.71999979019165,0.0
09/04/1990 18:00,0.0,0.0,18.820001220703148,0.0,0.0,0.0,5.309999942779541,0.0
09/04/1990 19:00,0.0,0.0,19.089990234375023,0.0,0.0,0.0,5.590000152587891,0.0
09/04/1990 20:00,0.0,0.0,19.179986572265648,0.0,0.0,0.0,5.519999980926514,0.0
09/04/1990 21:00,0.0,0.0,19.110009765625023,38.70000076293945,38.95000076293945,1.7100000381469727,5.929999828338623,0.0
